grid_size,num_robots,seed,time_taken,total_steps,coverage_pct,completeness,collisions,frozen_robots,overlap_area,robots_completed,avg_cells_per_robot,avg_path_per_robot,total_coverage,area_R1,area_R2,area_R3,area_R4,area_R5,area_R6,area_R7,area_R8,area_R9,area_R10,area_R11,area_R12,area_R13,area_R14,area_R15,area_R16,area_R17,area_R18,area_R19,area_R20,area_R21,area_R22,area_R23,area_R24,area_R25,area_R26,area_R27,area_R28,area_R29,area_R30,area_R31,area_R32,area_R33,area_R34,area_R35,area_R36,area_R37,area_R38,area_R39,area_R40
16,10,19,92,92,99.58,N,1,0,4,9,24.2,24.2,237,46,17,11,18,33,12,12,47,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,20,90,90,93.7,N,2,2,6,6,23.2,23.2,223,11,27,40,11,17,12,25,33,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,21,120,120,97.9,N,1,2,12,7,25.0,25.0,233,19,11,3,9,60,26,42,25,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,22,96,96,97.06,N,1,3,13,6,25.1,25.1,231,26,20,32,11,49,33,11,30,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,23,88,88,99.58,N,0,1,1,9,23.9,23.9,237,9,36,10,34,25,5,25,45,18,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,24,117,117,95.8,N,3,1,5,6,24.1,24.1,228,8,11,39,32,25,26,24,9,8,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10,25,118,118,96.64,N,2,0,2,8,24.0,24.0,230,35,32,10,30,17,18,9,23,7,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,1,45,45,100.0,Y,0,0,7,15,16.33,16.33,238,17,19,6,22,12,6,31,14,28,35,17,6,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,2,76,76,98.32,N,0,3,7,12,16.33,16.33,234,37,11,10,8,35,6,11,11,9,8,39,12,10,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,3,56,56,98.74,N,1,0,1,14,15.93,15.93,235,18,26,27,12,3,7,12,24,29,15,3,27,5,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,4,58,58,100.0,Y,1,3,6,11,16.27,16.27,238,11,13,11,28,30,9,12,12,22,31,10,24,11,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,5,44,44,100.0,Y,0,1,8,14,16.4,16.4,238,12,14,25,14,9,33,23,9,16,18,9,11,24,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,6,60,60,99.58,N,0,1,4,14,16.13,16.13,237,14,22,8,13,9,10,31,21,21,8,14,31,8,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,7,88,88,98.74,N,1,2,4,12,16.07,16.07,235,10,8,16,6,10,20,15,6,11,15,45,15,28,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,8,53,53,100.0,Y,0,2,9,13,16.47,16.47,238,11,6,41,24,15,8,16,25,6,6,23,17,16,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,9,68,68,99.58,N,3,0,7,12,16.33,16.33,237,6,18,8,12,35,10,12,29,33,27,14,9,12,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,10,51,51,100.0,Y,1,0,3,14,16.07,16.07,238,22,4,21,4,39,7,29,33,7,9,31,7,15,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,11,86,86,97.06,N,2,3,20,10,16.93,16.93,231,5,5,15,21,6,29,23,10,31,30,10,4,11,10,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,12,115,115,99.58,N,4,1,9,10,16.47,16.47,237,10,6,6,5,8,12,19,7,14,58,12,5,24,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,13,50,50,100.0,Y,3,1,11,11,16.6,16.6,238,10,14,15,34,20,19,10,20,24,9,11,28,7,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,14,67,67,100.0,Y,1,0,4,14,16.13,16.13,238,23,13,44,17,7,10,8,30,10,9,7,6,24,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,15,50,50,100.0,Y,2,0,4,13,16.13,16.13,238,23,30,11,31,7,19,9,30,7,16,4,24,19,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,16,78,78,96.22,N,3,1,5,11,16.2,16.2,229,20,7,11,6,37,15,6,9,19,15,34,3,14,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,17,104,104,97.06,N,0,2,13,13,16.73,16.73,231,6,5,18,13,9,11,53,12,12,27,20,6,19,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,18,72,72,100.0,Y,1,0,8,14,16.4,16.4,238,58,11,15,6,21,19,6,9,17,29,5,10,5,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,19,53,53,100.0,Y,1,0,9,14,16.47,16.47,238,44,19,13,12,22,12,6,22,9,12,19,23,18,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,20,62,62,99.58,N,5,0,7,10,16.27,16.27,237,10,21,15,23,24,14,17,10,8,11,8,18,32,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,21,66,66,97.06,N,2,0,2,13,15.67,15.67,231,12,11,3,9,15,19,15,33,19,5,5,27,34,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,22,58,58,99.58,N,1,0,1,14,15.93,15.93,237,17,14,23,13,9,12,26,30,9,13,9,8,22,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,23,60,60,97.06,N,0,3,12,12,16.67,16.67,231,9,21,10,11,12,5,12,18,18,31,8,16,21,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,24,68,68,98.74,N,3,2,11,10,16.6,16.6,235,8,10,35,32,11,27,9,9,8,9,29,11,11,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,25,56,56,96.64,N,2,0,2,13,16.0,16.0,230,29,11,3,26,13,18,9,22,7,14,8,19,19,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,1,72,72,99.58,N,3,3,12,14,12.45,12.45,237,21,25,6,6,15,4,18,14,9,37,7,6,8,7,12,8,4,11,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,2,68,68,100.0,Y,1,0,7,19,12.25,12.25,238,35,9,10,8,34,4,5,13,6,6,35,9,7,12,8,7,11,5,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,3,50,50,90.76,N,2,1,7,17,11.45,11.45,216,5,11,4,25,3,10,8,18,15,18,3,4,4,8,11,5,26,26,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,4,52,52,100.0,Y,2,0,8,18,12.3,12.3,238,10,11,8,23,25,4,10,9,11,29,10,25,8,8,10,8,11,10,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,5,38,38,100.0,Y,2,0,6,18,12.2,12.2,238,8,14,21,12,8,8,12,11,16,21,9,12,20,10,10,8,15,8,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,6,46,46,100.0,Y,1,0,3,19,12.05,12.05,238,8,24,8,11,8,7,17,19,12,8,31,23,4,10,12,9,7,12,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,7,92,92,100.0,Y,2,0,8,18,12.3,12.3,238,9,8,9,6,8,11,14,4,14,22,50,10,13,5,14,13,4,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,8,44,44,100.0,Y,1,1,8,18,12.3,12.3,238,8,6,23,12,15,6,9,15,6,6,21,16,9,7,8,14,7,26,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,9,52,52,100.0,Y,1,0,9,19,12.35,12.35,238,6,27,8,11,13,9,12,14,27,17,9,9,10,8,7,10,18,9,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,10,40,40,100.0,Y,2,0,6,18,12.2,12.2,238,12,4,17,2,13,11,27,19,6,6,4,10,31,11,4,6,21,6,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,11,76,76,96.64,N,4,3,12,13,12.5,12.5,230,5,5,10,10,6,23,19,8,23,13,9,4,9,10,10,22,12,9,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,12,68,68,100.0,Y,2,0,8,18,12.3,12.3,238,14,6,6,5,9,9,29,7,11,40,16,5,30,9,4,9,12,6,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,13,47,47,100.0,Y,0,2,10,18,12.4,12.4,238,8,10,11,20,24,27,8,20,13,8,7,7,7,13,10,7,11,7,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,14,51,51,100.0,Y,0,1,7,19,12.25,12.25,238,9,9,23,8,7,5,16,9,10,9,10,6,21,31,5,6,6,6,34,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,15,52,52,99.16,N,3,0,3,17,12.05,12.05,236,27,21,11,24,7,26,3,10,7,9,7,10,6,9,5,6,19,11,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,16,97,97,96.64,N,1,2,8,17,12.3,12.3,230,7,6,11,6,7,20,5,8,14,15,18,3,19,6,5,21,9,8,9,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,17,96,96,96.64,N,3,1,7,16,12.25,12.25,230,6,5,10,8,9,11,26,9,9,3,8,6,19,6,20,11,8,13,9,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,18,106,106,97.9,N,2,1,3,17,12.05,12.05,233,35,6,14,4,10,6,6,53,11,5,5,5,6,14,4,9,11,8,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,19,52,52,99.16,N,2,0,8,18,12.2,12.2,236,27,11,12,11,14,13,6,11,8,15,15,18,9,7,10,13,11,8,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,20,50,50,96.64,N,2,1,4,17,12.1,12.1,230,10,15,15,18,21,10,17,9,7,10,8,10,26,11,7,9,11,5,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,21,39,39,100.0,Y,0,0,9,20,12.35,12.35,238,9,11,3,9,12,12,11,14,17,5,5,10,21,16,21,19,23,4,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,22,56,56,99.58,N,2,0,6,18,12.2,12.2,237,9,22,23,12,7,11,10,29,8,9,8,8,13,17,14,4,3,10,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,23,52,52,99.58,N,2,2,10,16,12.4,12.4,237,8,23,8,7,9,5,9,16,17,27,10,16,12,9,9,8,6,21,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,24,70,70,100.0,Y,4,1,9,15,12.35,12.35,238,7,9,11,11,11,10,9,10,8,5,13,22,11,10,14,12,8,8,17,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,25,56,56,98.32,N,3,2,7,15,12.25,12.25,234,29,10,3,11,13,12,9,19,5,8,10,23,19,23,12,7,7,2,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,1,60,60,100.0,Y,2,3,8,20,9.84,9.84,238,11,8,6,6,11,4,8,15,20,18,7,6,7,7,6,8,4,20,4,9,8,6,8,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,2,46,46,100.0,Y,2,0,4,23,9.68,9.68,238,35,8,7,8,27,4,4,10,5,3,26,9,7,7,8,5,11,3,15,7,2,3,6,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,3,58,58,98.74,N,2,3,14,20,10.08,10.08,235,5,12,4,9,3,5,8,12,17,23,3,4,4,8,7,5,11,12,8,7,3,13,22,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,4,48,48,98.32,N,1,0,3,24,9.64,9.64,234,7,6,7,11,25,4,5,8,16,20,5,16,7,8,8,8,10,9,7,8,7,6,6,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,5,30,30,99.16,N,3,0,4,22,9.68,9.68,236,4,14,11,4,9,8,12,9,10,14,9,16,15,10,10,9,2,8,9,7,13,10,13,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,6,44,44,100.0,Y,3,0,5,22,9.72,9.72,238,8,15,7,11,8,7,14,9,12,7,23,23,3,9,12,7,4,12,5,3,4,16,10,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,7,38,38,100.0,Y,1,0,3,24,9.64,9.64,238,9,8,14,3,9,12,9,4,12,25,22,8,11,5,10,6,4,12,19,5,12,10,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,8,36,36,100.0,Y,3,2,14,20,10.08,10.08,238,8,4,12,15,16,6,2,10,4,5,7,16,9,6,14,26,7,14,14,8,7,3,5,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,9,34,34,98.74,N,2,0,8,23,9.72,9.72,235,6,10,8,11,13,9,10,10,15,17,9,9,10,8,7,7,18,7,13,7,6,9,8,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,10,40,40,100.0,Y,0,0,0,25,9.52,9.52,238,12,4,15,5,12,11,22,19,4,5,4,6,9,20,7,5,4,6,6,7,3,9,11,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,11,39,39,100.0,Y,0,0,4,25,9.68,9.68,238,5,5,8,31,11,17,9,8,24,11,7,4,9,7,8,16,13,8,4,9,5,5,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,12,54,54,98.74,N,3,0,4,22,9.68,9.68,235,5,9,6,5,5,6,18,7,9,16,17,6,28,5,4,7,22,6,11,11,2,12,7,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
