grid_size,num_robots,seed,time_taken,total_steps,coverage_pct,completeness,collisions,frozen_robots,overlap_area,robots_completed,avg_cells_per_robot,avg_path_per_robot,total_coverage,num_replans,area_R1,area_R2,area_R3,area_R4,area_R5,area_R6,area_R7,area_R8,area_R9,area_R10,area_R11,area_R12,area_R13,area_R14,area_R15,area_R16,area_R17,area_R18,area_R19,area_R20,area_R21,area_R22,area_R23,area_R24,area_R25,area_R26,area_R27,area_R28,area_R29,area_R30,area_R31,area_R32,area_R33,area_R34,area_R35,area_R36,area_R37,area_R38,area_R39,area_R40
16,15,17,107,107,97.06,N,0,0,13,15,16.73,16.73,231,2,6,5,18,13,9,11,53,12,12,27,20,6,19,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,18,71,71,100,Y,1,0,8,14,16.4,16.4,238,0,58,11,15,6,21,19,6,9,17,29,5,10,5,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,19,54,54,100,Y,1,0,9,14,16.47,16.47,238,0,44,19,13,12,22,12,6,22,9,12,19,23,18,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,20,65,65,99.58,N,5,0,7,10,16.27,16.27,237,0,10,21,15,23,24,14,17,10,8,11,8,18,32,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,21,69,69,97.06,N,2,0,2,13,15.67,15.67,231,0,12,11,3,9,15,19,15,33,19,5,5,27,34,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,22,61,61,99.58,N,1,0,1,14,15.93,15.93,237,0,17,14,23,13,9,12,26,30,9,13,9,8,22,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,23,41,41,100,Y,0,0,19,15,17.13,17.13,238,3,9,21,10,11,17,5,12,18,18,31,8,16,28,25,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,24,75,75,98.74,N,3,0,11,12,16.6,16.6,235,2,8,17,37,23,11,27,9,9,8,9,29,11,11,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,25,59,59,96.64,N,2,0,2,13,16,16,230,0,29,11,3,26,13,18,9,22,7,14,8,19,19,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,1,43,43,100,Y,2,0,13,18,12.55,12.55,238,4,22,25,6,6,15,4,18,14,12,34,7,6,8,7,12,8,4,12,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,2,62,62,100,Y,1,0,7,19,12.25,12.25,238,0,35,9,10,8,34,4,5,13,6,6,35,9,7,12,8,7,11,5,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,3,53,53,90.76,N,2,0,7,18,11.45,11.45,216,1,5,11,4,25,3,10,8,18,15,18,3,4,4,8,11,5,26,26,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,4,46,46,100,Y,2,0,8,18,12.3,12.3,238,0,10,11,8,23,25,4,10,9,11,29,10,25,8,8,10,8,11,10,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,5,36,36,100,Y,2,0,6,18,12.2,12.2,238,0,8,14,21,12,8,8,12,11,16,21,9,12,20,10,10,8,15,8,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,6,39,39,100,Y,1,0,3,19,12.05,12.05,238,0,8,24,8,11,8,7,17,19,12,8,31,23,4,10,12,9,7,12,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,7,83,83,100,Y,2,0,8,18,12.3,12.3,238,0,9,8,9,6,8,11,14,4,14,22,50,10,13,5,14,13,4,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
